,x,y,z,w,ra,dec,redshift,dist
44702,10.1,101.34,-125.37,37.389,136.2569,6.4742,,161.52226
44703,12.14,116.06,-142.53,37.849,136.3329,6.7472,,184.2067
44704,133.08,183.68,-113.1,35.399,136.5399,39.9751,,253.45659
44705,147.53,209.73,-133.18,37.489,136.5744,38.7912,,288.9441
44706,89.79,131.94,-86.22,37.809,136.6743,37.5761,,181.39542
44707,8.04,121.1,-150.55,35.899,136.7469,5.3693,,193.37827
44708,82.52,113.76,-68.47,37.369,136.9113,40.4197,,156.32986
44709,79.09,123.16,-83.62,37.619,136.9884,35.6872,,168.57022
44710,15.43,160.84,-193.02,37.529,137.0301,6.8464,,251.72269
44711,141.72,204.83,-127.44,35.229,137.2474,38.8412,,279.78714
44712,75.16,101.07,-57.84,35.329,137.2671,41.8425,,138.59883
44713,86.02,125.04,-77.75,35.459,137.3654,38.7344,,170.52713
44714,132.93,187.79,-113.18,37.939,137.3739,39.8922,,256.40823
44715,169.91,204.09,-98.13,37.029,137.4921,47.098,,283.11063
44716,4.54,140.67,-173.36,37.709,137.5769,4.4404,,223.2988
44717,145.61,197.63,-111.95,37.469,137.6371,41.8277,,269.8012
44718,85.29,124.95,-77.11,36.569,137.6448,38.7181,,169.80235
44719,6.38,169.34,-207.23,37.399,137.6462,4.7151,,267.69574
44720,5.89,169.06,-207.29,38.119,137.6518,4.5964,,267.55396
44721,4.63,140.49,-172.42,37.049,137.666,4.5242,,222.45793
44722,13.21,134.49,-156.62,36.889,137.6922,7.4005,,206.862
44723,93.81,111.13,-51.53,37.819,137.6947,47.9421,,154.29042
44724,142.43,203.02,-121.29,37.559,137.7026,39.8688,,276.07007
44725,9.82,134.49,-158.84,37.959,137.8366,6.3714,,208.3606
44726,4.38,131.89,-160.37,38.069,137.8816,4.6704,,207.68411
44727,145.35,199.8,-113.31,37.779,137.8821,41.5429,,271.81946
44728,8.94,135.32,-160.06,37.649,137.9316,6.1269,,209.78711
44729,101.32,141.2,-81.12,36.399,137.9415,41.0325,,191.7906
44730,7.9,115.7,-136.44,37.109,137.9589,6.2455,,179.06639
44731,98.05,142.46,-85.62,35.969,137.9631,39.3688,,192.97523
44732,92.72,111.13,-51.34,37.939,138.0583,47.7454,,153.5665
44733,116.67,168.64,-100.07,37.579,138.0926,39.7055,,228.17831
