ra,dec,dist,sigma_dist,d_dist
3.8802,-32.1806,2.377772,0.15420025940315407,-0.15420025940315407
3.9333,-33.0306,71.54379,0.8458356223285941,0.8458356223285941
3.963,16.0895,38.34799,0.6192575393162364,0.6192575393162364
3.9897,14.0757,50.99849,0.7141322706613951,-0.12820046340885088
4.1189,29.9239,45.32014,0.6732023469953147,-0.2579626039275943
4.1841,7.076,36.26736,0.6022238786365084,0.6022238786365084
4.2012,12.35,7.7977495,0.27924450755565455,-0.27924450755565455
4.212,-5.2684,35.845192,0.5987085434499829,-0.5356807103043881
4.2619,-9.6798,63.136303,0.7945835575947945,0.5111768932200769
4.2711,42.1612,47.465527,0.6889522987841756,-0.2718641065061263
4.2925,-19.3014,28.773962,0.5364136650011817,-0.0027474392989610256
4.2904,-3.7137,105.67053,1.0279617210772005,-0.1680130432651042
4.3304,6.7231,53.025208,0.7281840976016986,0.245816418190452
4.3765,-6.8247,69.242424,0.8321203278372666,0.8321203278372666
4.4007,-4.6262,56.244526,0.7499635057787812,0.0679353743506776
4.3994,30.2049,45.0067,0.6708703302427378,0.4319994309017557
4.4241,24.6673,56.905174,0.7543551815955135,-0.7543551815955135
4.4397,11.4503,8.02511,0.2832862509900542,-0.013801253437009735
4.4992,24.5631,54.373646,0.7373848791506373,-0.6217852509560681
4.5056,-59.0837,86.508705,0.930100559079501,-0.930100559079501
4.5192,-33.8746,72.473,0.8513107540728004,-0.7475805536809293
4.5439,18.2923,54.97914,0.7414791972806789,-0.24774558060349666
4.5249,-37.7094,67.010574,0.8185998656242255,0.7497576980975188
4.6052,18.5163,48.570015,0.6969219109771195,-0.6969219109771195
4.5997,48.7317,49.713554,0.7050783928046583,0.021597603567679646
4.6391,-6.272,64.87845,0.8054716009891347,-0.38998472861719957
4.6624,-15.3223,73.05416,0.8547172631929227,-0.2800678504350115
4.7112,-8.4586,64.02236,0.8001397377958428,0.8001397377958428
4.7215,48.0167,48.568348,0.6969099511414657,0.37501800291087456
4.7292,-3.2761,58.00377,0.76160206144679,0.76160206144679
4.7526,23.4762,41.19143,0.6418055001322441,-0.09916259474425447
4.7704,-22.9364,72.59244,0.8520119717468764,-0.5929514367922264
4.7843,15.7494,104.708275,1.0232706142560726,-0.2290681490559464
4.7502,19.3979,49.84187,0.7059877477690389,0.17119976351078847
